,# run,cmsls,prescidx,totprescval,hltpath/prescval,logic,l1bit/prescval
108,380384,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
109,380384,146,5,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
110,380384,680,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
111,380385,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
112,380399,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
113,380399,3,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
114,380403,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
115,380403,3,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
116,380444,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
117,380444,6,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
118,380446,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
119,380447,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
120,380466,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
121,380466,3,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
122,380470,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
123,380470,15,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
124,380481,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
125,380513,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
126,380513,5,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
127,380517,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
128,380531,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
129,380534,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
130,380537,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
131,380538,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
132,380564,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
133,380564,2,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
134,380567,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
135,380623,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
136,380623,4,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
137,380624,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
138,380625,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
139,380626,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
140,380627,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
141,380647,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
142,380647,4,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
143,380647,142,11,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
144,380647,318,4,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
145,380647,356,11,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
146,380649,1,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
147,380933,1,7,31530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/1051.00
148,380933,51,9,31530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/1051.00
149,380945,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
150,380945,8,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
151,380947,1,7,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
152,380947,5,9,526530.0,HLT_PFJet40_v29/30,ONE,L1_ZeroBias/17551.00
153,380963,1,9,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
154,380963,912,14,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
155,381022,1,7,437730.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/14591.00
156,381022,4,14,437730.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/14591.00
157,381053,1,7,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
158,381065,1,7,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
159,381065,138,4,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
160,381065,758,7,526530.0,HLT_PFJet40_v30/30,ONE,L1_ZeroBias/17551.00
